Dream,Freud Interpretation,Model Interpretation,BLEU,ROUGE,Perplexity,BERTScore
Driving an out-of-control vehicle,"dream: driving an out-of-control vehicle
interpretation: to dream that you are driving an uncontrollable vehicle signifies fears of losing control in real life.","dream: driving an out-of-control vehicle
interpretation: to dream that you are driving a van suggests that your goals will take a lot of hard work to accomplish. you may be feeling overwhelmed or overwhelmed with responsibilities.",0.30888995556875376,0.47619047619047616,68.84954249292677,0.7381088137626648
Meeting a deceased loved one,"dream: meeting a deceased loved one
interpretation: seeing a deceased loved one in a dream could signify unresolved emotions or a need for closure.","dream: meeting a deceased loved one
interpretation: to dream that you are in the middle of something indicates your need to reconnect with someone or something. you may be feeling disconnected from others and are unable to express yourself.",0.16080715767173956,0.2857142857142857,3605.566514546982,0.6729186773300171
Pregnancy,"dream: pregnancy
interpretation: dreaming of pregnancy symbolizes creativity, new beginnings, or personal growth.","dream: pregnancy
interpretation: to dream that you are pregnant indicates a lack of self-esteem and/or feelings. you may be feeling insecure about your own abilities or abilities, especially if the baby is born prematurely. alternatively it refers",1.4780633233764223e-78,0.23076923076923075,35423.37599917626,0.6012970209121704
Being unable to speak,"dream: being unable to speak
interpretation: if you dream about losing your voice, it may indicate feelings of repression or being unheard.","dream: being unable to speak
interpretation: to dream that you are being blind represents a lack of awareness and insight. you may be feeling limited or restricted in some area, especially if the dream is about your own abilities as well known by",0.13202927207088244,0.30769230769230765,5065.429863765074,0.6910297274589539
Fire,"dream: fire
interpretation: to dream that something is on fire represents passion, transformation, or destruction.","dream: fire
interpretation: to dream that you are in a fire signifies your desire to escape from life's daily problems. you need time for relaxation and contemplation.",0.1777011473824655,0.32558139534883723,,0.6707180142402649
Water,"dream: water
interpretation: seeing water in a dream often reflects emotions, subconscious thoughts, or cleansing.","dream: water
interpretation: to dream that you are in a water park symbolizes your need to be protected and sheltered. you may also be expressing some inner turmoil or anxiety about something.",2.0581673600881486e-78,0.25531914893617025,,0.6517254710197449
Animals attacking,"dream: animals attacking
interpretation: to dream about animals attacking signifies inner fears, instincts, or unresolved conflicts.","dream: animals attacking
interpretation: to see or eat a raccoon in your dream represents the destructive tendencies of some animalistic impulse. you may be expressing these destructive urges through words, actions and/or behavior that you are not paying enough",0.09604819623436828,0.24999999999999994,298575.79479997914,0.6039320826530457
Being trapped,"dream: being trapped
interpretation: dreaming of being trapped could symbolize feeling stuck in a situation or relationship.","dream: being trapped
interpretation: to dream that you are in a cage indicates your need to escape from life's daily problems. you may be feeling confined and restricted.",0.10332090908268508,0.3043478260869565,295504392.5908367,0.6674683690071106
Finding hidden rooms,"dream: finding hidden rooms
interpretation: to see hidden rooms in a dream suggests self-discovery or unlocking new potential.","dream: finding hidden rooms
interpretation: to dream that you are in a room with someone indicates your need to be more open and receptive. you may also be feeling insecure about your own self-image or how you portray yourself toward the outside",0.12795100096585615,0.3225806451612903,7754359.168478371,0.6551792025566101
Losing something valuable,"dream: losing something valuable
interpretation: dreaming of losing an object signifies anxiety about loss or personal insecurity.","dream: losing something valuable
interpretation: to see or dream that you are losing your virginity symbolizes a lack of self-worth and/or sexual desires. you may be feeling insecure about yourself, especially if it is revealed to others",0.108043996762779,0.32142857142857145,100387.8147719074,0.6584410071372986
Shadows or dark figures,"dream: shadows or dark figures
interpretation: to dream that you are surrounded by shadows symbolizes repressed emotions, fears, or the unknown.","dream: shadows or dark figures
interpretation: to dream that you are a shadow represents your subconscious thoughts and feelings. you may be trying to hide your true self.",0.35630548449868954,0.48979591836734687,11664.268447794899,0.7751789093017578
Being in an old house,"dream: being in an old house
interpretation: if you dream of an old house, it represents revisiting past experiences or memories.","dream: being in an old house
interpretation: to dream that you are living in a new home suggests that there is something that you need to get out and do. you may be feeling lost or overwhelmed with responsibilities.",0.1570208067577934,0.3,248.4078294025369,0.6878592371940613
Climbing stairs,"dream: climbing stairs
interpretation: to dream that you are climbing stairs signifies progress, achievement, or spiritual growth.","dream: climbing stairs
interpretation: to dream that you are in a valley indicates your need to be sheltered and protected. you may also be feeling emotionally distant from your family or friends due to the hardships and adversities of life on",0.1928243190846078,0.3448275862068965,5747.432117266977,0.6609323024749756
Descending stairs,"dream: descending stairs
interpretation: dreaming of going down stairs may represent setbacks, regression, or going deeper into the subconscious.","dream: descending stairs
interpretation: to dream that you are walking on a ladder represents your ability to traverse various obstacles. you are able to overcome obstacles in your life and achieve great things. alternatively, the dream indicates some sort of",0.06364996151971675,0.23728813559322032,628266.3325124496,0.6086433529853821
Mirrors,"dream: mirrors
interpretation: to see yourself in a mirror signifies self-reflection, identity, or personal perception.","dream: mirrors
interpretation: to dream that you are in a mirror represents your subconscious thoughts and feelings. you may be reflecting on some waking situation or relationship which is not what it seems at the time!",0.09598524129805773,0.34615384615384615,143800.82530391455,0.6425771117210388
Storms or tornadoes,"dream: storms or tornadoes
interpretation: if you dream about a storm, it reflects emotional turmoil, chaos, or sudden change.","dream: storms or tornadoes
interpretation: to dream that you are in a storm signifies your emotional turmoil. you may be experiencing feelings of helplessness and hopelessness. stormy weather also symbolizes the negative aspects which can happen to",0.108043996762779,0.35714285714285715,2624.1738467759183,0.7007287740707397
Earthquakes,"dream: earthquakes
interpretation: dreaming of an earthquake may symbolize instability, life changes, or insecurity.","dream: earthquakes
interpretation: to dream that you are in a landslide indicates your inability to cope with the consequences of some decision or decision. you may be feeling helpless and helpless in some area, especially if there is something that has never",1.4031630338920504e-78,0.21428571428571427,731.3391042159648,0.5862382650375366
Seeing someone crying,"dream: seeing someone crying
interpretation: to see someone crying in a dream indicates empathy, guilt, or emotional awareness.","dream: seeing someone crying
interpretation: to see a baby in your dream represents the importance of being a mother. you are experiencing a new beginning. alternatively, dreaming about seeing or eating an egg indicates that you need to be more independent and",0.15216024072031614,0.36666666666666675,1004020.3597523641,0.6665409803390503
Laughter,"dream: laughter
interpretation: dreaming of laughter represents joy, release, or covering up deep emotions.","dream: laughter
interpretation: to dream that you are laughing suggests that your subconscious is trying to make you laugh. you need some lightheartedness in order for yourself and others the joy of life!",1.5270462878358646e-78,0.21276595744680848,15983.385837960654,0.5747224688529968
Being in a hospital,"dream: being in a hospital
interpretation: if you dream about being in a hospital, it signifies healing, self-care, or unresolved health concerns.","dream: being in a hospital
interpretation: to dream that you are being taken care of suggests that you need to be more patient and more understanding. you may be feeling overwhelmed or overwhelmed by some situation.",0.1435314135902754,0.3389830508474576,757.0052680702651,0.6602613925933838
Food,"dream: food
interpretation: to dream about eating food represents nourishment, emotional satisfaction, or indulgence.","dream: food
interpretation: to dream that you are eating or drinking water suggests a lack of motivation and/or control. you may be feeling drained, empty-headed etc., but still have some energy. alternatively the dream means your need",0.10146459445560989,0.2641509433962264,,0.6109917163848877
Wearing the wrong clothes,"dream: wearing the wrong clothes
interpretation: seeing yourself in inappropriate clothing signifies insecurity, embarrassment, or feeling out of place.","dream: wearing the wrong clothes
interpretation: to see or wear a t-shirt in your dream suggests that you are not giving enough attention to what is going on around them. you feel that you are being overlooked. alternatively, wearing",0.12487405142186059,0.30508474576271183,679.0962841514594,0.6290745139122009
Missing a flight or train,"dream: missing a flight or train
interpretation: dreaming of missing a flight reflects fear of missed opportunities or time anxiety.","dream: missing a flight or train
interpretation: to dream that you are missing something indicates that you are feeling lost and unwanted. you may be feeling disconnected from others, family members etc., especially if the dream is about your own personal life",0.13749229838463398,0.29032258064516125,5123.7174206731925,0.6624557971954346
An intruder,"dream: an intruder
interpretation: if you dream of an intruder in your home, it may symbolize external threats, fears, or self-doubt.","dream: an intruder
interpretation: to dream that you are in a barbed wire cage suggests your fears of being found out and exposed. you may be feeling trapped and unable to move on with life.",0.08312565735249723,0.2807017543859649,7595487515.2878065,0.6339672803878784
Childhood homes,"dream: childhood homes
interpretation: to dream of your childhood home represents nostalgia, unresolved childhood issues, or comfort.","dream: childhood homes
interpretation: to dream that you are a child suggests that you are experiencing some inner turmoil. you may be feeling emotionally distant from your parents or grandparents.",0.16436148154531297,0.3404255319148936,10092240.046367984,0.6652408838272095
Rain,"dream: rain
interpretation: seeing rain in a dream signifies sadness, renewal, or emotional cleansing.","dream: rain
interpretation: to dream that you are in a raincoat indicates your need to protect yourself from the negative influences of life. you may be feeling emotionally drained or overwhelmed.",2.040190377624809e-78,0.26666666666666666,,0.6294247508049011
Bright light,"dream: bright light
interpretation: to dream of a bright light represents enlightenment, guidance, or hope.","dream: bright light
interpretation: to dream that you are in a dimly lit room indicates your need to be more creative and spontaneous. you may also be feeling overwhelmed or overwhelmed by the demands of daily life, especially if it is dark",0.11907182322580316,0.2807017543859649,574778110.1573095,0.6265382766723633
Tunnels,"dream: tunnels
interpretation: dreaming of a tunnel signifies transitions, birth, or searching for a way out.","dream: tunnels
interpretation: to dream that you are in a tunnel indicates your need to escape from life's daily problems. you may be feeling trapped and unable find your own way out of the current situation or problem. alternatively, it",1.7324546281206212e-78,0.28070175438596495,304.9490607387593,0.6248074769973755
Ghosts,"dream: ghosts
interpretation: seeing ghosts in a dream may represent the past, unresolved issues, or hidden fears.","dream: ghosts
interpretation: to dream that you are in a haunted house suggests that you are feeling trapped and unable to move on. you may be feeling emotionally distant from your loved ones or family members of the past.",1.819342928026893e-78,0.28571428571428564,63357.108952777686,0.632149875164032
Doors,"dream: doors
interpretation: dreaming of doors symbolizes opportunities, choices, or transitions in life.","dream: doors
interpretation: to see or dream that you are in a room with someone indicates your need to be more open and receptive. you may also be feeling insecure about your own self-image, self image issues etc., especially if",1.3919032827643305e-78,0.18518518518518517,3967.4549151953343,0.5556859970092773
Someone disappearing,"dream: someone disappearing
interpretation: to dream that someone disappears signifies loss, abandonment fears, or relationship concerns.","dream: someone disappearing
interpretation: to dream that you are a victim of identity theft suggests that you are feeling disconnected from others. you feel that you are being overlooked.",0.1959280139287724,0.3111111111111111,51234327234.88786,0.6675665378570557
